Time_s,Error_Norm_m,Control_Output_Norm_mps2,ux_mps2,uy_mps2,uz_mps2,udotx_mps3,udoty_mps3,udotz_mps3,x_m,y_m,z_m,xd_m,yd_m,zd_m
0.01986241340637207,0.20373160915606678,6.250265886745076,2.9039454295319715,-3.0557581858852787,4.614679458717008,0.0,0.0,0.0,-0.005760322408522409,-0.02216705521421158,1.3035507202148438,0.01764906457693009,-0.01764875915773436,1.505882512504221
0.03992748260498047,0.21172669193894963,6.331656643041421,2.944243502330584,-3.1364673995726187,4.645845272474414,2.0083694902685543,-4.0223740515650706,1.5532372925764693,0.0022828746678965903,-0.01677635722979894,1.3035507202148438,0.03547695727648771,-0.03547447653348977,1.5118215182007588
0.059979915618896484,0.2231944350092545,6.4511475091416,3.0087487327619638,-3.184908617262595,4.735091588078694,3.216828121884978,-2.4157276903186222,4.450647736478884,0.0022828746678965903,-0.01677635722979894,1.3035507202148438,0.05329112024841965,-0.05328271159778612,1.517749694985164
0.08033013343811035,0.2371502288679049,6.536544163919506,3.0748289878440516,-3.2496067363153025,4.765699566871403,3.247152225550012,-3.179234720113031,1.5040614830083094,0.0022828746678965903,-0.01677635722979894,1.3035507202148438,0.07136598837882965,-0.07134579249776106,1.52375501442056
0.10008668899536133,0.24184923846229886,6.5934630728350045,3.131399205156096,-3.2870757686160683,4.781550711031273,2.8633643728085185,-1.8965366808089212,0.8023232650011554,0.0022828746678965903,-0.01677635722979894,1.3155860900878906,0.08890861239347297,-0.08886955939506865,1.5295711501034233
0.11993741989135742,0.2592831869656875,6.5375508126062485,3.1499950065430493,-3.2828038173859833,4.694709914650584,0.9367816975799085,0.21520372486368822,-4.374690122780558,0.0022828746678965903,-0.01677635722979894,1.3155860900878906,0.10652873157952689,-0.10646154775370628,1.5353976888731549
0.13996148109436035,0.278119445892505,6.621184587150843,3.215325890532858,-3.345789268237022,4.72307727306498,3.2626190724992084,-3.145488330888286,1.4166635892094683,0.0022828746678965903,-0.01677635722979894,1.3155860900878906,0.12429525582073708,-0.12418852799821158,1.541254055470187
0.1600480079650879,0.29139752368909266,6.45530138809891,3.1724768361694675,-3.268263011291338,4.574359367625673,-2.1332236597774052,3.859614827621816,-7.403863614472663,0.008452989027680387,-0.025982483326151634,1.3155860900878906,0.14210843889425734,-0.14194891309440744,1.5471039613201185
0.17999505996704102,0.31153886767959504,6.538179403093679,3.237633593158705,-3.3303458093845206,4.601555760110228,3.2664855429693396,-3.112379618156306,1.363429166469919,0.008452989027680387,-0.025982483326151634,1.3155860900878906,0.15978800144696773,-0.1595611882441028,1.5528852887455795
0.20015907287597656,0.31892340047450174,6.265740145696472,3.141180348103501,-3.203036761562917,4.374133182489687,-4.783434998321263,6.313676171333302,-11.278636779673981,0.008452989027680387,-0.025982483326151634,1.334695816040039,0.17764857249276791,-0.17733683152289226,1.558697716005347
0.21989154815673828,0.3328112173434331,6.079514679893999,3.0286844467664924,-3.058043886948705,4.293708985301291,-5.701053706459578,7.347931394880475,-4.075727755595168,0.01462310497011839,-0.03518861172499457,1.334695816040039,0.19511466950927264,-0.19470156754860654,1.5643514679283403
0.2401573657989502,0.35529269231813443,6.1620623080966475,3.09503064034614,-3.1201382723058098,4.3193210561240365,3.2737980155044117,-3.063996057468089,1.2638064387492536,0.01462310497011839,-0.03518861172499457,1.334695816040039,0.2130390748580021,-0.21250123391949707,1.570119336782187
0.2601797580718994,0.36967857085136024,5.962834190648874,2.96296921311551,-2.956628890665938,4.2467105658592255,-6.595686740642309,8.166325952008098,-3.6264642743469633,0.020793219018157935,-0.044394737470570864,1.334695816040039,0.23073318724444902,-0.2300497457124982,1.5757760379632362
0.2801988124847412,0.3840736937072021,6.019229412768334,3.009545996275466,-2.988868041655371,4.270880875113345,2.32662253668075,-1.6104232659836277,1.2073651809755388,0.02696333469682024,-0.05360086548566542,1.334695816040039,0.2484082442355227,-0.24755519942631896,1.5813868588099926
0.300079345703125,0.3879855599387441,5.734803022281977,2.8756706804378203,-2.833223547596505,4.073245410159994,-6.733990198706004,7.828989914362027,-9.941155138162758,0.02696333469682024,-0.05360086548566542,1.3660602569580078,0.26594385115282504,-0.26489683567404376,1.5869111579241437
0.3201100826263428,0.4007375709488414,5.533776663749905,2.698112680747368,-2.668492304942405,4.027657004353332,-8.864276954516017,8.223923227864796,-2.275922547503468,0.04117664824343387,-0.05741629440721579,1.3660602569580078,0.2835934866643185,-0.2823235275247924,1.5924259206780085
0.33995723724365234,0.415142172526563,5.586737426722243,2.7439670267792557,-2.6990779139258154,4.049352842818856,2.310373799975151,-1.5410576263025222,1.0931460395134944,0.0473467626511862,-0.06662242047059654,1.3660602569580078,0.3010618766531159,-0.2995420558775489,1.5978362431579478
0.36008763313293457,0.4209171261290211,5.358283517652312,2.566725445464862,-2.4860084378813396,3.9928542159626144,-8.804674398319232,10.584465264188752,-2.8066326746372043,0.059686993480959405,-0.0850346757332889,1.3660602569580078,0.31875859537052853,-0.3169541481200271,1.6032658439304563
0.3800492286682129,0.43533351677609644,5.4096171686070065,2.6127426077856235,-2.5157950483872584,4.013515821677974,2.3052847774335032,-1.4921958744869184,1.0350678470988848,0.06585710805655036,-0.09424080224636194,1.3660602569580078,0.33628484206934006,-0.3341654070672465,1.6085892150370258
0.4001429080963135,0.41796316838311476,5.052466520023033,2.3915832059277546,-2.260167407764547,3.8339784811546442,-11.006416353422168,12.72179351409486,-8.93501566827279,0.07819733809499645,-0.1126530563578092,1.4097671508789062,0.353903698266003,-0.35143253351059134,1.613883721437867
0.4200420379638672,0.43239787301693944,4.910754306778449,2.2497882813516092,-2.0986188897334066,3.8275003992540855,-7.125684666611852,8.118370959252417,-0.3255459883761813,0.0843674530303002,-0.12185918318868669,1.4097671508789062,0.37132766688252533,-0.36847223069519097,1.6190606315585805
0.4400961399078369,0.43537873508546854,4.917473087593796,2.2520420510668457,-2.1152471432176747,3.825647355748483,0.11238447483379863,-0.8291696896089743,-0.09240221829826427,0.10475087944977528,-0.13488073809853227,1.4097671508789062,0.38886174484735364,-0.3855811775017757,1.6242081656374696
0.4599728584289551,0.44958771419818166,4.782626517880882,2.1163223428310527,-1.9615258793985948,3.8140676941057383,-6.828074165843655,7.733734502290086,-0.5825741120417802,0.11092099544018183,-0.14408686646440322,1.4097671508789062,0.4062141993625136,-0.4024731170832001,1.6292382924132556
0.4799633026123047,0.4452942938029131,4.771451514777477,2.123754502015569,-1.9319162250411301,3.811051832823022,0.37178559497475877,1.4811904170757273,-0.15086514611957505,0.12943134062973882,-0.17170524782344831,1.4097671508789062,0.42363819620297866,-0.41939303420506246,1.6342222570906335
0.5000467300415039,0.4393149844937035,4.511051719156393,1.992823020601388,-1.785934697130485,3.6316224031485502,-6.519379317885766,7.268755715391643,-8.934203601801556,0.1356014549895226,-0.180911373919801,1.4536075592041016,0.4411140806708345,-0.43631954115180127,1.6391509753125804
0.5199177265167236,0.4317438700447527,4.365608194298101,1.8163155436759588,-1.6191183153224025,3.6246363449194985,-8.882668624371409,8.394968114262019,-0.35157060380760247,0.16215499855064938,-0.20313905640419044,1.4536075592041016,0.45837518970041885,-0.4529931366990828,1.6439475346070835
